[ ID: 1   name: hC3m69   number of follower: 333 / 1000   post rate: 7.391300000000001 %] 
[ ID: 2   name: JZCaidOrz0Uy   number of follower: 111 / 1000   post rate: 0 %] 
[ ID: 3   name: L0pWqLNOuU   number of follower: 999 / 1000   post rate: 10.4348 %] 
[ ID: 4   name: jmpGFJ2   number of follower: 166 / 1000   post rate: 3.0435 %] 
[ ID: 5   name: HxJkFnUmJGA7S   number of follower: 66 / 1000   post rate: 3.0435 %] 
[ ID: 6   name: RhoRyr   number of follower: 71 / 1000   post rate: 0.8696 %] 
[ ID: 7   name: LfwkiD   number of follower: 100 / 1000   post rate: 0.8696 %] 
[ ID: 8   name: sRIdiKLjJ   number of follower: 90 / 1000   post rate: 0.4348 %] 
[ ID: 9   name: bSmJ226m9W   number of follower: 200 / 1000   post rate: 1.7391 %] 
[ ID: 10   name: S3DIcDSLU19oJEtB   number of follower: 250 / 1000   post rate: 4.3478 %] 
[ ID: 11   name: hzSCRT   number of follower: 83 / 1000   post rate: 1.7391 %] 
[ ID: 12   name: WPy5Eu3weYC   number of follower: 500 / 1000   post rate: 10 %] 
[ ID: 13   name: i7mrMI8u5A   number of follower: 142 / 1000   post rate: 3.0435 %] 
[ ID: 14   name: DIvmMd1VsxANap9Vn   number of follower: 76 / 1000   post rate: 0 %] 
[ ID: 15   name: pN1JaeN1P0xl3HJryC   number of follower: 125 / 1000   post rate: 2.1739 %] 
[ ID: 16   name: 8UBFbKTKlUq31AZoG32   number of follower: 52 / 1000   post rate: 0.4348 %] 
[ ID: 17   name: EGhQcbwzD7EuC0B   number of follower: 62 / 1000   post rate: 0.8696 %] 
[ ID: 18   name: 58UyRYiO0hKON   number of follower: 50 / 1000   post rate: 0.4348 %] 
[ ID: 19   name: XLGVApLG5N8KuKdbqX   number of follower: 47 / 1000   post rate: 0.4348 %] 
[ ID: 20   name: KUZZ2Ods5J   number of follower: 45 / 1000   post rate: 0.4348 %] 
[ ID: 21   name: tDJp37q6uxAOQNw3   number of follower: 41 / 1000   post rate: 0.8696 %] 
[ ID: 22   name: aBfaCdI   number of follower: 43 / 1000   post rate: 0.4348 %] 
[ ID: 23   name: Ma4Q5FhBMaF   number of follower: 58 / 1000   post rate: 0.4348 %] 
[ ID: 24   name: XME7nXGW0Dxvj8ZtFuF   number of follower: 40 / 1000   post rate: 0 %] 
[ ID: 25   name: vWSCHI   number of follower: 38 / 1000   post rate: 0.4348 %] 
[ ID: 26   name: vVdm5cdEr4D5G3s3tS   number of follower: 37 / 1000   post rate: 0 %] 
[ ID: 27   name: apAlbjQ1r1U2qF   number of follower: 35 / 1000   post rate: 0 %] 
[ ID: 28   name: b1Mgsj   number of follower: 34 / 1000   post rate: 0.4348 %] 
[ ID: 29   name: typ1oZX   number of follower: 33 / 1000   post rate: 0.8696 %] 
[ ID: 30   name: ToJ5xv   number of follower: 32 / 1000   post rate: 0 %] 
[ ID: 31   name: z23eaLCx1dqDSrgcqi   number of follower: 31 / 1000   post rate: 0 %] 
[ ID: 32   name: V2V9UR   number of follower: 30 / 1000   post rate: 0.8696 %] 
[ ID: 33   name: grJdd8lQ1nOYl   number of follower: 28 / 1000   post rate: 1.3043 %] 
[ ID: 34   name: ACciNtz   number of follower: 27 / 1000   post rate: 0.4348 %] 
[ ID: 35   name: p8vjk7   number of follower: 29 / 1000   post rate: 0.4348 %] 
